year	affected cell IDs (list)
11	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
12	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
13	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
14	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
15	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
16	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
17	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
18	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
19	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
20	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
21	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
22	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
23	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
24	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
25	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
26	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
27	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
28	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
29	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
30	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
31	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
32	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
33	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
34	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
35	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
36	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
37	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
38	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
39	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
40	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
41	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
42	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
43	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
44	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
45	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
46	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
47	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
48	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
49	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
50	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
51	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
52	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
53	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
54	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
55	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
56	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
57	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
58	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
59	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
60	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
61	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
62	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
63	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
64	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
65	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
66	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
67	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
68	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
69	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
70	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
71	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
72	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
73	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
74	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
75	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
76	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
77	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
78	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
79	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
80	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
