year	affected cell IDs (list)
1	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
2	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
3	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
4	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
5	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
6	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
7	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
8	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
9	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
10	[84, 133, 58, 248, 68, 383, 382, 533, 14, 456, 204, 191, 156, 389, 17, 228, 414, 74, 31, 338, 77, 51, 486, 44, 408, 407, 89, 511, 103, 563, 161, 526, 170, 39, 482, 540, 175, 317, 35, 393, 461, 281, 36, 527, 449, 549, 149, 488, 542, 154, 242, 148, 162, 504, 24, 91, 261]
